source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,1409000,17617,79.98,4.0,0,pierwotny,1,4-pokojowe mieszkanie numer 4 na parterze w budynku 1 w Inwestycji Slow Wilanów Dewelopera Novisa Development,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-ogrodek-ID4ulR2,4-pokojowe mieszkanie 79m2 + ogródek,ul. Gratyny,Kępa Zawadowska,Wilanów,mazowieckie
otodom,1495000,21083,70.91,3.0,3,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/wilanow-70-91-m2-3-4-pokoje-garaz-balkon-ID4uHgO,"Wilanów, 70,91 m2, 3/4 pokoje, garaż, balkon",Błonia Wilanowskie,Błonia Wilanowskie,Wilanów,mazowieckie
otodom,685000,22154,30.92,2.0,,wtórny,1,,2025-03-22,https://www.otodom.pl/pl/oferta/2024r-sypialnia-ladne-osiedle-blisko-m3-ID4tjl0,"2024r, sypialnia, ładne osiedle. Blisko M3",ul. Podskarbińska,Grochów,Praga-Południe,mazowieckie
otodom,,,66.1,3.0,0,pierwotny,1,3-pokojowe mieszkanie numer B001 na parterze w budynku B w Inwestycji Zielono Mi Dewelopera RONSON DEVELOPMENT,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrodek-bezposrednio-ID4umKP,3-pokojowe mieszkanie 66m2 + ogródek Bezpośrednio,ul. Polska,Siekierki,Mokotów,mazowieckie
otodom,768000,12800,60.0,4.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pok-w-znakomitej-cenie-ogrodek-ID4wsmZ,"4 pok. w znakomitej cenie , OGRÓDEK",ul. Posag 7 Panien,Szamoty,Ursus,mazowieckie
otodom,810000,15882,51.0,3.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/okazja-cenowa-mieszkanie-na-zoliborzu-warszawa-ID4w2gm,"OKAZJA CENOWA - Mieszkanie na Żoliborzu, Warszawa",ul. Władysława Broniewskiego,Sady Żoliborskie,Żoliborz,mazowieckie
otodom,1333000,9948,134.0,5.0,1,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-134m-bezczynszowe-cena-ID4wwCl,"❗Mieszkanie dla rodziny 134m, Bezczynszowe, Cena",Wierzbno,Wierzbno,Mokotów,mazowieckie
otodom,750000,14793,50.7,2.0,5,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokoje-gotowe-do-zamieszkania-rondo-wiatraczna-ID4tTm2,2-pokoje gotowe do zamieszkania | Rondo Wiatraczna,ul. Majdańska,Grochów,Praga-Południe,mazowieckie
otodom,2640000,27052,97.59,3.0,5,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/eleganckie-3p-97-59-m-super-oferta-srodmiescie-ID4wcbS,"Eleganckie 3P | 97,59 m² |Super oferta Śródmieście",ul. Dzika,Muranów,Śródmieście,mazowieckie
otodom,899900,18107,49.7,2.0,6,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/wola-tower-komfort-i-wygoda-loggia-metro-ID4uu9g,"Wola Tower -komfort i wygoda, loggia, metro",ul. Radziwie,Młynów,Wola,mazowieckie
otodom,,,69.55,3.0,5,pierwotny,1,3-pokojowe mieszkanie numer 7-A076 na 5. piętrze w budynku 6_7 w Inwestycji Ursus Centralny Dewelopera RONSON DEVELOPMENT,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-69m2-loggia-bez-prowizji-ID4upju,3-pokojowe mieszkanie 69m2 + loggia Bez Prowizji,ul. Kazimierza Gierdziejewskiego,Szamoty,Ursus,mazowieckie
otodom,1313205,14599,89.95,4.0,1,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-atrakcyjnej-inwestycji-ID4uJsm,Nowe Mieszkanie W Atrakcyjnej Inwestycji,ul. Żupnicza,Grochów,Praga-Południe,mazowieckie
otodom,660000,13200,50.0,3.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-krepowieckiego-ID4sOUQ,3-pokojowe mieszkanie Krępowieckiego,ul. Tadeusza Krępowieckiego,Ulrychów,Wola,mazowieckie
otodom,1260122,11497,109.6,5.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-5-pokojowe-109-60-m2-warszawa-wlochy-ID4o8Fx,"Mieszkanie 5-pokojowe 109,60 m2, Warszawa, Włochy",ul. Bolesława Gidzińskiego 1C,Opacz Wielka,Włochy,mazowieckie
otodom,795000,16991,46.79,2.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadznia-oddzielna-kuchnia-2-pokoje-ID4wc97,Gotowe do wprowadznia/oddzielna kuchnia /2 pokoje,ul. Herbu Oksza,Szamoty,Ursus,mazowieckie
otodom,1056610,13302,79.43,4.0,1,pierwotny,1,4-pokojowe mieszkanie numer A.M1.20 na 1. piętrze w Inwestycji LIVIN' PRAGA Dewelopera GH Development,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-loggia-bezposrednio-ID4ui48,4-pokojowe mieszkanie 79m2 + loggia Bezpośrednio,ul. Aleksandra Kotsisa,Pelcowizna,Praga-Północ,mazowieckie
otodom,529800,14717,36.0,2.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/2-pok-nowe-mieszkania-ID4wv6S,2 pok nowe mieszkania,ul. Posag 7 Panien,Szamoty,Ursus,mazowieckie
