price;price_per_meter;area;rooms;floor;market_type;furnished;building_type;description;district;date;url
1 249 000 zł do negocjacji;Cena za m²: 18641.79 zł/m²;67;4;10;Wtórny;;Blok;"OPIS
SPRZEDAJE WAŚCICIEL
Mieszkanie położne dwustronnie wschód i zachód. Salon na wschód, od ul. Puławskiej trzy pokoje i kuchnia na zachód od cichego zielonego podwórza.
- 4 pokoje, oddzielna kuchnia, łazienka,wc, balkon typu loga.
-67m2
Pulawska w okolicy ul.Niedzwiedzieĵ.
-pod budynkiem przystanek tramwajowy i autobusowy, jeden przystanek do metra Wilanowska lub 2 przystanki do metro Służewiec.
- Mieszkanie po remoncie, gotowe do zamieszkania od zaraz. Wszystkie sprzety AGD nowe nie używane na gwarancji zmywarka, lodówka, kuchenka, piekarnik, pralka, meble w kuchni ikea nowe z gwarancją
ŚWIETNA INWESTYCJA, Mieszkanie ma duży potencjał. Nadaje się dla rodziny i pod wynajem, ale też na biuro, kancelarię, balkon od ul. Pulawskiej o dużej powierzchni reklamowej.
- W okolicy 4 uczelnie Łazarski,UW, Vistula, WSZ Polish open University Domaniewska.
Galeria Mokotów, Biedronka. Centrum Handlowe Land.
Grunt pod budynkiem jest własnoscią nie płaci sie za użytkowanie.
Czynsz 800 zł.
Agencje Nieruchomości zapraszam do współpracy.

Tel 79*****99";Mokotów;2025-03-16;https://www.olx.pl/d/oferta/mokotow-4-pokoje-na-linii-metra-CID3-ID14VskQ.html
699 000 zł;Cena za m²: 12944.44 zł/m²;54;3;Parter;Wtórny;;Apartamentowiec;"OPIS
Do sprzedaży przestronne mieszkanie na Odkrytej 56a, Warszawa
Oferuję na sprzedaż przestronne mieszkanie o powierzchni 54 m², zlokalizowane na parterze apartamentowca przy ul. Odkrytej 56a w Warszawie. To idealna propozycja dla rodzin, które szukają komfortowego, nowoczesnego mieszkania w dogodnej lokalizacji.

Wyjątkowość oferty:
Mieszkanie na Odkrytej 56a to doskonały wybór dla rodzin, które szukają komfortowego miejsca do życia w przystępnej cenie. Na niewielkiej powierzchni 54 m² zaprojektowano funkcjonalny układ z dwiema sypialniami, co pozwala na wygodne zamieszkanie nawet rodzinie z dwójką dzieci. Dodatkowym atutem jest przestronny taras, który może pełnić rolę miejsca na relaks lub zabawę na świeżym powietrzu.

Szczegóły oferty:

Powierzchnia: 54 m²
Lokalizacja: ul. Odkryta 56a, Warszawa
Piętro: Parter w apartamentowcu
Pomieszczenia:
2 oddzielne sypialnie
Salon z aneksem kuchennym i wyjściem na taras
Przedpokój
Łazienka
Stan mieszkania: Odświeżone
Wyposażenie:
Kuchnia: w pełni wyposażona
Łazienka: w pełni wyposażona
Pozostałe pomieszczenia: brak mebli
Dodatkowe udogodnienia:
Taras
Miejsce parkingowe na terenie osiedla
Cena: 699 000 zł
Lokalizacja i infrastruktura:
Mieszkanie znajduje się w dzielnicy Białołęka, w części Nowodwory, w odległości około 12 km od centrum Warszawy.

Komunikacja miejska:

Liczne linie autobusowe – przystanki w odległości kilku minut spacerem
Szybki dojazd do stacji metra Młociny dzięki pobliskim przystankom tramwajowym
Okolica:

W najbliższej okolicy dostępne są liczne sklepy spożywcze, takie jak Auchan, Żabka, Biedronka i Lidl, a także apteki, szkoły, przedszkola, żłobki, basen oraz siłownia.
Osiedle jest zamknięte i monitorowane, co zapewnia bezpieczeństwo mieszkańcom.
W pobliżu znajdują się tereny rekreacyjne wzdłuż Wału Wiślanego, idealne na spacery i aktywność na świeżym powietrzu.
Kontakt:
W celu uzyskania dodatkowych informacji lub umówienia się na prezentację mieszkania, proszę o kontakt telefoniczny pod numerem podanym w ogłoszeniu

Zapraszam do obejrzenia mieszkania!

---";Białołęka;;https://www.olx.pl/d/oferta/idealne-mieszkanie-dla-rodziny-54-m-z-tarasem-3-pokoje-odkryta-56a-CID3-ID144ZwI.html
378 000 zł;Cena za m²: 15120 zł/m²;25;1;1;Wtórny;;Blok;"OPIS
Na sprzedaż nowy lokal / mikro-kawalerka o powierzchni 24,62 m2 położona na 1 piętrze w budynku 2 piętrowym. Dostępne jeszcze inne metraże od 17,62 m2 do 24,62 m2.

Lokal nowy, wykończony, gotowy do umeblowania. Wysokość 290 cm!
Nieruchomość składa się z:
- pokoju dziennego z aneksem kuchennym,
(wykończenie: na podłodze panele, okno PCV, na ścianach gładzie pomalowane na biało, podłączenia pod kuchnię),
- łazienka z WC, kabina prysznicowa, umywalka z szafką, miejsce na pralkę.

Kameralna inwestycja. Budynek po generalnym remoncie i modernizacji, ukończony i oddany do użytkowania we wrześniu 2023 roku. Budynek zamieszkały.

Dostępne miejsca postojowe przed budynkiem, ogólnodostępne.

Czynsz 19,05 zł / mkw (bez zaliczek na wodę i ogrzewanie).

Możliwość dokupienia komórki lokatorskiej w cenie od 10 000 tyś brutto.

Idealnie nadaje się na wynajem długo jak też krótko terminowy. (Stawki najmu od 2000 zł / mc przy wynajmie długoterminowym). Świetna oferta inwestycyjna.
Możliwość zarządzania najmem.

Pomagamy w przygotowaniu lokalu do wynajmu (projekt, wykonanie).

Stan prawny: Pełna własność, KW.

Świetna lokalizacja i komunikacja ok. 900m do stacji WKD Warszawa Al. Jerozolimskie, 1,7 km do stacji kolejowej Warszawa Włochy, komunikacja autobusowa na ul. Popularnej (linie 127, 178, 191, 228, N85).

Bliski dostęp do Al. Jerozolimskich, trasy ekspresowej S 8 i autostrady A 2 jak również do lotniska Chopina (7 km)
Sąsiedztwo licznych centrów handlowych Castorama, Blue City, Reduta, liczne biurowce.

Cena 378 000 zł brutto z VAT (23%) Możliwość odliczenia.

Brak PCC!

Lokale inwestycyjne, usługowe, biurowe o funkcji mieszkalnej. Idealna propozycja na wynajem krótko, średnio czy długoterminowy, jak też siedzibę firmy. Zwrot kapitału. Idealna inwestycja!

Gorąco polecam i zapraszam na prezentację!";Włochy;2025-03-22;https://www.olx.pl/d/oferta/nowa-kawalerka-swietna-inwestycja-CID3-ID14XsAt.html
739 000 zł do negocjacji;Cena za m²: 19194.81 zł/m²;38,50;2;10;Wtórny;;Blok;"OPIS
Do sprzedania dwupokojowe mieszkanie przy ul. Saskiej.
Mieszkanie w idealnym stanie, umeblowane gotowe do wprowadzenia bez żadnych nakładów finansowych.

Standard wykończenia
Mieszkanie świeżo po gruntownym remoncie (łącznie z instalacjami). Zaprojektowane w nowoczesnym stylu wnętrze gdzie dominuje biel, odcienie szarości i drewna. Zastosowane materiały i kolory tworzą spójną całość zachwycając elegancją i prostotą.

Zalety
- dużo miejsca do przechowywania - zabudowa wnękowa wykonana na zamówienie przez stolarza,
- kuchnia na wymiar wysokiej jakości sprzętem AGD,
- ostatnie piętro,
- wystawa okien na wschodnią stronę.

Lokalizacja
Doskonała lokalizacja! Wygodne miejsce do życia! W najbliższym sąsiedztwie sklepy (w tym Biedronka, apteka), przystanek autobusowy, szkoła, przedszkole, bazarek przy ul. Egipskiej, restauracje itp.

Rozkład pomieszczeń
Pokój dzienny 16,5 m2 z wyjściem na balkon
Sypialnia 8,5 m2
Kuchnia 5,5 m2
Łazienka 3,5 m2
Przedpokój 4,5 m2.

Do mieszkania przynależy piwnica.

BIURA NIERUCHOMOŚCI ZAPRASZAM WYŁĄCZNIE Z POTENCJALNYM KUPUJĄCYM.

Zapraszam do kontaktu - po godzinie 17.00";Praga-Południe;2025-03-21;https://www.olx.pl/d/oferta/gotowe-do-wprowadzenia-mieszkanie-przy-ul-saskiej-CID3-ID14IqMV.html
580 000 zł;Cena za m²: 19035.12 zł/m²;30,47;2;6;Wtórny;;Blok;"OPIS
Do sprzedania mieszkanie które świetnie sprawdzi się jako inwestycja, jak i miejsce do zamieszkania. Bardzo funkcjonalny układ pomógł w realizacji 2 pokoi, łazienki, oddzielnej kuchni na zaledwie 31m2. Mieszkanie jest od lat wynajęte przez te same osoby, ale możemy je sprzedać bez najemców. Mieszkanie posiada założoną księgę wieczystą, można kredytować zakup.

Mieszkanie znajduje się na Woli, przy ulicy Okocimskiej. W bezpośrednim sąsiedztwie metra księcia Janusza.

Powierzchnia 30,47m2
piętro 6 w budynku z 1975 roku z windą
Ekspozycja zachodnia - wnętrza są jasne nasłonecznione
Mieszkanie po generalnym remoncie około 3 lata temu. Wymienione instalacje, nałożone nowe tynki, Okna dźwiękoszczelne.

Na pytania odpowiem telefonicznie 888 - 081 - 815";Wola;2025-03-22;https://www.olx.pl/d/oferta/mieszkanie-dwa-pokoje-przy-metrze-ksiecia-janusza-CID3-ID14Hlsv.html
720 000 zł do negocjacji;Cena za m²: 12413.79 zł/m²;58;3;2;Wtórny;;Blok;"OPIS
Uprzejmie proszę o niekontaktowanie się agencji nieruchomości.

Przedstawiam 3-pokojowe mieszkanie o powierzchni 58 m w spokojnej i jednocześnie bliskiej Warszawy części Marek (ul. Szkolna). Mieszkanie położone jest na 2 (ostatnim) piętrze budynku z 2010 r. Kameralny budynek, w którym zamieszkuje 6 rodzin zarządzany przez wspolnotę. Mieszkanie z księgą wieczysta, nieobciążone hipoteka.
Mieszkanie składa się z salonu z aneksem kuchennym, 2 sypialni oraz łazienki. Dodatkową powierzchnię stanowią 2 balkony (wyjście na balkon z salonu oraz z jednej z sypialni).
Mieszkanie ogrzewane jest za pomocą ekonomicznego pieca gazowego. Nieruchomość dobrze utrzymana. Mieszkanie jest jasne i przytulne.
Najbliższy przystanek autobusowy znajduje się 10 min pieszo. Dobry dojazd do stacji metra Trocka (autobusy linii 73*********40). W pobliżu znajduje się sklep spożywczy, Biedronka, szkoła podstawowa nr 2, kościół, a także park i urząd miasta.
Do mieszkania przynależy miejsce postojowe na 2 samochody - dodatkowo płatne 20 tys. Zakup obligatoryjny.";Rembertów;2025-03-22;https://www.olx.pl/d/oferta/mieszkanie-w-bliskich-markach-3-pokoje-bezposrednio-CID3-ID14OLTy.html
1 050 000 zł;Cena za m²: 24249.42 zł/m²;43,30;2;3;Pierwotny;;Apartamentowiec;"OPIS
Mieszkanie o powierzchni 43 ,3 m2 (plus balkon) mieści się na 3 piętrze nowoczesnego budynku, wybudowanego w 2022 r.
Mieszkanie jest w pełni umeblowane- Gotowe do wprowadzenia .
Do mieszkania przynależy miejsce parkingowe (dodatkowo płatne).
Ogromnym atutem apartamentu jest jego lokalizacja.
W pobliżu centrum handlowe ,,Westfield Arkadia,,
Doskonałe połączenie z każdą częścią miasta . Do centrum 10 minut autem.
W bliskiej odległości znajdują się sklepy, lokale usługowe ,szkoły ,przedszkola i restauracje.

Przytulne, przestronne mieszkanie w samym sercu Żoliborza artystycznego.
To idealne miejsce dla osób ceniących wygodę życia miejskiego w otoczeniu pięknej zieleni.

Nie jestem zainteresowana pośrednictwem.";Żoliborz;2025-03-21;https://www.olx.pl/d/oferta/sprzedam-nowe-mieszkanie-gotowe-do-wprowadzenia-zoliborz-bezposrednio-CID3-ID11yo0E.html
529 000 zł;Cena za m²: 14297.3 zł/m²;37;2;1;Wtórny;;Blok;"OPIS
lokalizacja: Warszawa/Włochy/ ul. Radarowa
pow. 37 m2
liczba pokoii:2 pokoje
piętro 1 z 4
stan prawny: odrębna własność (hipoteczne z księgą wieczystą)

Bardzo dobrze zlokalizowane dwupokojowe mieszkanie na styku Rakowca i Włoch.

Mieszkanie jest na 1 piętrze w budynku 4 piętrowym, jednostronne. Wschodnio-południowe.
Budynek zadbany, ocieplony i otynkowany, wewnątrz wymienione instalacje wodno-kanalizacyjne, centralnego ogrzewania (w tym nowe kaloryfery) oraz gazowa.

Sam lokal wymaga remontu. Wymienione są drzwi zewnętrzne (Gerda) oraz okna (plastykowe).
W pokojach na podłodze klepka dębowa w bardzo dobrym stanie. Nadaje się do cyklinowania.

Pokoje są oddzielne, ale dodatkowo między nimi są drzwi.
Kuchnia jest oddzielna w tzw. prześwicie.
W przedpokoju dwudrzwiowa szafa wnękowa.

Do mieszkania przynależy piwnica o powierzchni 2,2m2

Informacje prawne:
Odrębna własność - można skorzystać z kredytu hipotecznego
nie ma obciążeń w hipotece
czynsz 502zł/m-c

Zapraszam do obejrzenia mieszkania. Posiadamy klucze.";Włochy;2025-03-22;https://www.olx.pl/d/oferta/wlochy-ul-radarowa-akademia-medyczna-i-okecie-niski-budynek-piwnica-CID3-ID11OOfu.html
729 900 zł do negocjacji;Cena za m²: 16413.31 zł/m²;44,47;2;4;Wtórny;;Kamienica;"OPIS
pow. 44,47 m2
2 pokoje
piętro 4 z 5
Dwupokojowe mieszkanie na Starej Ochocie w kamienicy z windą.

Kamienica dwuklatkowa, z piękną przedwojenną klatką schodową, wysokimi kondygnacjami (310 cm) .
W budynku wyremontowane zostały wszystkie instalacje (elektryczna, centralnego ogrzewania, gazowa i wodno-kanalizacyjna). Klatki schodowe są w bardzo dobrym stanie, a wspólnota planuje remont windy w przyszłym roku (są już na to fundusze).

Mieszkanie narożne z oknami w stronę ulicy Kopińskiej (kuchnia i pokój dzienny) i na bok budynku (sypialnia i łazienka).
Wysokie piętro, wysokość mieszkania (310 cm) oraz duże okna dają niesamowite poczucie przestrzeni i zapewniają piękny widok.

Mieszkanie jest do remontu, ma jednak fantastyczny dębowy parkiet, wymienione okna i drzwi zewnętrzne. Jest też dość plastyczne i spokojnie można otworzyć kuchnię na większy pokój. Można również zrezygnować z gazu na rzecz kuchni indukcyjnej (instalacja w budynku jest wymieniona)

Duża osobna widna kuchnia, a pokój dzienny z oknami przez całą długość ściany. Przy sypialni łazienka z oknem, osobne wc z wejściem z przedpokoju.
Lokalizację Starej Ochoty nie trzeba nikomu zachwalać ;).
Komunikacja dosłownie w każdą stronę miasta, a punkty usługowe i sklepy w zasięgu ręki

Do mieszkania przynależy piwnica.
Czynsz na poziomie 675zł/mc
Odrębna własność

Zapraszam na prezentację.";Ochota;2025-03-06;https://www.olx.pl/d/oferta/stara-ochota-kamienica-z-winda-piwnica-wysoki-strop-310-cm-CID3-ID13aCcL.html
668 000 zł do negocjacji;Cena za m²: 18870.06 zł/m²;35,40;2;7;Wtórny;;Apartamentowiec;"OPIS
Oferuję apartament na sprzedaż, mieści się on w dzielnicy Stare Włochy, przy ul. Wiktoryn 6. Metraż to 35,4 m2, idealna przestrzeń funkcjonalna dla 2 osób. Mieszkanie jest nowocześnie i dobrze jakościowo wyposażone, wraz ze wszystkimi sprzętami AGD: pralka zmywarka w zabudowie, telewizor, lodówka, piekarnik i płyta indukcyjna, które po sprzedaży pozostają do Państwa dyspozycji. Mieszkanie jest dobrze oświetlone, posiada oszklony duży balkon i okna przez które mieszkanie jest bardzo nasłonecznione. Znajduje się ono na 7 i ostatnim piętrze w bloku z dwoma windami, siłownią i sauną, pralnią do dyspozycji mieszkańców już z cenie czynszu 700 zł. Usytuowane jest w aglomeracyjnej okolicy Warszawy przy jednej z głównych ulic al. Jerozolimskie. Mimo położenia jest w nim bardzo cicho. W okolicy znajduje się dużo sklepów tj. Makro, leclerc, CH Blue city, CityFit (2,5 km, 5 min autem). Odległość od ścisłego centrum to 6 km (15 min autem,20 autobusem bądź pociągiem w godzinach szczytu).Pod blokiem znajdują się przystanki autobusowe oraz w pobliżu jest stacja SKM, co gwarantuje świetną komunikację. Mieszkanie posiada szerokie miejsce parkingowe w garażu podziemnym, dodatkowo płatne 55 tys. zł. Osiedle jest strzeżone przez ochronę na którym znajduje się dodatkowy parking tylko dla mieszkańców. Sprzedam bez pośrednio, agencjom dziękuję.";Włochy;2025-02-21;https://www.olx.pl/d/oferta/sprzedam-apartament-mieszkanie-35-4m2-2-pokoje-wlochy-warszawa-CID3-ID14zOs4.html
