source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;1 409 000 zł;17 617 zł/m²;79.98;4;parter;pierwotny;Tak;4-pokojowe mieszkanie numer 4 na parterze w budynku 1 w Inwestycji Slow Wilanów Dewelopera Novisa Development;ul. Gratyny, Kępa Zawadowska, Wilanów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-ogrodek-ID4ulR2;4-pokojowe mieszkanie 79m2 + ogródek
otodom;1 495 000 zł;21 083 zł/m²;70.91;3;3/3;wtórny;Tak;;Błonia Wilanowskie, Wilanów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/wilanow-70-91-m2-3-4-pokoje-garaz-balkon-ID4uHgO;Wilanów, 70,91 m2, 3/4 pokoje, garaż, balkon
otodom;685 000 zł;22 154 zł/m²;30.92;2;;wtórny;Tak;;ul. Podskarbińska, Grochów, Praga-Południe,  mazowieckie;2025-03-22;https://www.otodom.pl/pl/oferta/2024r-sypialnia-ladne-osiedle-blisko-m3-ID4tjl0;2024r, sypialnia, ładne osiedle. Blisko M3
otodom;Zapytaj o cenę;;66.1;3;parter/3;pierwotny;Tak;3-pokojowe mieszkanie numer B001 na parterze w budynku B w Inwestycji Zielono Mi Dewelopera RONSON DEVELOPMENT;ul. Polska, Siekierki, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrodek-bezposrednio-ID4umKP;3-pokojowe mieszkanie 66m2 + ogródek Bezpośrednio
otodom;768 000 zł;12 800 zł/m²;60;4;;pierwotny;Tak;;ul. Posag 7 Panien, Szamoty, Ursus,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pok-w-znakomitej-cenie-ogrodek-ID4wsmZ;4 pok. w znakomitej cenie , OGRÓDEK
otodom;810 000 zł;15 882 zł/m²;51;3;;wtórny;Tak;;ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/okazja-cenowa-mieszkanie-na-zoliborzu-warszawa-ID4w2gm;OKAZJA CENOWA - Mieszkanie na Żoliborzu, Warszawa
otodom;1 333 000 zł;9 948 zł/m²;134;5;1/2;wtórny;Tak;;Wierzbno, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-134m-bezczynszowe-cena-ID4wwCl;❗Mieszkanie dla rodziny 134m, Bezczynszowe, Cena
otodom;750 000 zł;14 793 zł/m²;50.7;2;5/13;wtórny;Tak;;ul. Majdańska, Grochów, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokoje-gotowe-do-zamieszkania-rondo-wiatraczna-ID4tTm2;2-pokoje gotowe do zamieszkania | Rondo Wiatraczna
otodom;2 640 000 zł;27 052 zł/m²;97.59;3;5/6;wtórny;Tak;;ul. Dzika, Muranów, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/eleganckie-3p-97-59-m-super-oferta-srodmiescie-ID4wcbS;Eleganckie 3P | 97,59 m² |Super oferta Śródmieście
otodom;899 900 zł;18 107 zł/m²;49.7;2;6;wtórny;Tak;;ul. Radziwie, Młynów, Wola,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/wola-tower-komfort-i-wygoda-loggia-metro-ID4uu9g;Wola Tower -komfort i wygoda, loggia, metro
